"table_name","column_name","data_type","column_default","is_nullable","character_maximum_length","numeric_precision","numeric_scale","table_description","column_description"
affinity_gaming_entity_period_config_data,entity_period_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,entity_period_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,entity_period_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,company_name,text,,YES,,,,,
affinity_gaming_entity_period_config_data,company_name,text,,YES,,,,,
affinity_gaming_entity_period_config_data,company_name,text,,YES,,,,,
affinity_gaming_entity_period_config_data,company_name,text,,YES,,,,,
affinity_gaming_gl_config_data,actindx,integer,,YES,,32,0,,
affinity_gaming_gl_config_data,actindx,integer,,YES,,32,0,,
affinity_gaming_gl_config_data,actindx,integer,,YES,,32,0,,
affinity_gaming_gl_config_data,actindx,integer,,YES,,32,0,,
affinity_gaming_gl_config_data,gl_number,integer,,YES,,32,0,,
affinity_gaming_gl_config_data,gl_number,integer,,YES,,32,0,,
affinity_gaming_gl_config_data,gl_number,integer,,YES,,32,0,,
affinity_gaming_gl_config_data,gl_number,integer,,YES,,32,0,,
affinity_gaming_gl_config_data,loc,integer,,YES,,32,0,,
affinity_gaming_gl_config_data,loc,integer,,YES,,32,0,,
affinity_gaming_gl_config_data,loc,integer,,YES,,32,0,,
affinity_gaming_gl_config_data,loc,integer,,YES,,32,0,,
affinity_gaming_gl_config_data,loc_code,text,,YES,,,,,
affinity_gaming_gl_config_data,loc_code,text,,YES,,,,,
affinity_gaming_gl_config_data,loc_code,text,,YES,,,,,
affinity_gaming_gl_config_data,loc_code,text,,YES,,,,,
affinity_gaming_gl_config_data,gl_name,text,,YES,,,,,
affinity_gaming_gl_config_data,gl_name,text,,YES,,,,,
affinity_gaming_gl_config_data,gl_name,text,,YES,,,,,
affinity_gaming_gl_config_data,gl_name,text,,YES,,,,,
affinity_gaming_net_working_capital,source,text,,YES,,,,,
affinity_gaming_net_working_capital,period,text,,YES,,,,,
affinity_gaming_net_working_capital,month,text,,YES,,,,,
affinity_gaming_net_working_capital,year,text,,YES,,,,,
affinity_gaming_net_working_capital,entity_id,integer,,YES,,32,0,,
affinity_gaming_net_working_capital,entity_name,text,,YES,,,,,
affinity_gaming_net_working_capital,entity_code,text,,YES,,,,,
affinity_gaming_net_working_capital,location_id,integer,,YES,,32,0,,
affinity_gaming_net_working_capital,category_name,text,,YES,,,,,
affinity_gaming_net_working_capital,metric_order,integer,,YES,,32,0,,
affinity_gaming_net_working_capital,subcategory_name,text,,YES,,,,,
affinity_gaming_net_working_capital,submetric_order,integer,,YES,,32,0,,
affinity_gaming_net_working_capital,gl_name,text,,YES,,,,,
affinity_gaming_net_working_capital,gl_number,text,,YES,,,,,
affinity_gaming_net_working_capital,ending_balance,double precision,,YES,,53,,,
affinity_gaming_period_config_data,period_id,integer,,YES,,32,0,,
affinity_gaming_period_config_data,period_id,integer,,YES,,32,0,,
affinity_gaming_period_config_data,period_id,integer,,YES,,32,0,,
affinity_gaming_period_config_data,period_id,integer,,YES,,32,0,,
affinity_gaming_period_config_data,period,text,,YES,,,,,
affinity_gaming_period_config_data,period,text,,YES,,,,,
affinity_gaming_period_config_data,period,text,,YES,,,,,
affinity_gaming_period_config_data,period,text,,YES,,,,,
affinity_gaming_period_config_data,year,integer,,YES,,32,0,,
affinity_gaming_period_config_data,year,integer,,YES,,32,0,,
affinity_gaming_period_config_data,year,integer,,YES,,32,0,,
affinity_gaming_period_config_data,year,integer,,YES,,32,0,,
affinity_gaming_period_config_data,month,integer,,YES,,32,0,,
affinity_gaming_period_config_data,month,integer,,YES,,32,0,,
affinity_gaming_period_config_data,month,integer,,YES,,32,0,,
affinity_gaming_period_config_data,month,integer,,YES,,32,0,,
affinity_gaming_period_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_period_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_period_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_period_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_period_config_data,company_name,text,,YES,,,,,
affinity_gaming_period_config_data,company_name,text,,YES,,,,,
affinity_gaming_period_config_data,company_name,text,,YES,,,,,
affinity_gaming_period_config_data,company_name,text,,YES,,,,,
affinity_gaming_profit_and_loss,source,text,,YES,,,,,
affinity_gaming_profit_and_loss,metric_name,text,,YES,,,,,
affinity_gaming_profit_and_loss,metric_order,integer,,YES,,32,0,,
affinity_gaming_profit_and_loss,gl_name,text,,YES,,,,,
affinity_gaming_profit_and_loss,gl_number,text,,YES,,,,,
affinity_gaming_profit_and_loss,period,text,,YES,,,,,
affinity_gaming_profit_and_loss,year,integer,,YES,,32,0,,
affinity_gaming_profit_and_loss,month,integer,,YES,,32,0,,
affinity_gaming_profit_and_loss,entity_id,integer,,YES,,32,0,,
affinity_gaming_profit_and_loss,entity_name,text,,YES,,,,,
affinity_gaming_profit_and_loss,entity_code,text,,YES,,,,,
affinity_gaming_profit_and_loss,location_id,integer,,YES,,32,0,,
affinity_gaming_profit_and_loss,ending_balance,double precision,,YES,,53,,,
affinity_gaming_profit_and_loss,actual_mtd,double precision,,YES,,53,,,
affinity_gaming_profit_and_loss,actual_ytd,double precision,,YES,,53,,,
affinity_gaming_profit_and_loss,actual_ttm,double precision,,YES,,53,,,
affinity_gaming_profit_and_loss,py_ending_balance,double precision,,YES,,53,,,
affinity_gaming_profit_and_loss,py_actual_mtd,double precision,,YES,,53,,,
affinity_gaming_profit_and_loss,py_actual_ytd,double precision,,YES,,53,,,
affinity_gaming_profit_and_loss,py_actual_ttm,double precision,,YES,,53,,,
affinity_gaming_profit_and_loss_staged,period,text,,YES,,,,,
affinity_gaming_profit_and_loss_staged,year,integer,,YES,,32,0,,
affinity_gaming_profit_and_loss_staged,month,integer,,YES,,32,0,,
affinity_gaming_profit_and_loss_staged,entity_id,integer,,YES,,32,0,,
affinity_gaming_profit_and_loss_staged,entity_name,text,,YES,,,,,
affinity_gaming_profit_and_loss_staged,entity_code,text,,YES,,,,,
affinity_gaming_profit_and_loss_staged,location_id,integer,,YES,,32,0,,
affinity_gaming_profit_and_loss_staged,category_id,integer,,YES,,32,0,,
affinity_gaming_profit_and_loss_staged,category_name,text,,YES,,,,,
affinity_gaming_profit_and_loss_staged,metric_order,integer,,YES,,32,0,,
affinity_gaming_profit_and_loss_staged,gl_name,text,,YES,,,,,
affinity_gaming_profit_and_loss_staged,gl_number,text,,YES,,,,,
affinity_gaming_profit_and_loss_staged,source,text,,YES,,,,,
affinity_gaming_profit_and_loss_staged,debit,double precision,,YES,,53,,,
affinity_gaming_profit_and_loss_staged,credit,double precision,,YES,,53,,,
affinity_gaming_profit_and_loss_staged,beginning_balance,double precision,,YES,,53,,,
affinity_gaming_profit_and_loss_staged,period_balance,double precision,,YES,,53,,,
affinity_gaming_profit_and_loss_staged,ending_balance,double precision,,YES,,53,,,
affinity_gaming_report_config_data,report_id,integer,,YES,,32,0,,
affinity_gaming_report_config_data,report_id,integer,,YES,,32,0,,
